"id","score","det.type","label","site","date"
"a1",0.951633870601654,"TP","Great Egret","6thBridge",2023-04-20
"a5",0.934096336364746,"TP","Great Egret","6thBridge",2023-04-20
"a19",0.919682800769806,"TP","Great Egret","6thBridge",2023-04-20
"a52",0.890551626682281,"TP","Great Egret","6thBridge",2023-04-20
"a70",0.883653342723846,"TP","Great Egret","6thBridge",2023-04-20
"a85",0.879562437534332,"TP","Great Egret","6thBridge",2023-04-20
"a100",0.872213304042816,"TP","Great Egret","6thBridge",2023-04-20
"a134",0.86150199174881,"TP","Great Egret","6thBridge",2023-04-20
"a143",0.858270168304443,"TP","Great Egret","6thBridge",2023-04-20
"a191",0.842864811420441,"TP","Great Egret","6thBridge",2023-04-20
"a282",0.817152082920074,"TP","Great Egret","6thBridge",2023-04-20
"a447",0.781251490116119,"TP","Great Egret","6thBridge",2023-04-20
"a491",0.775177299976349,"TP","Great Egret","6thBridge",2023-04-20
"a504",0.772494256496429,"TP","Great Egret","6thBridge",2023-04-20
"a520",0.768723428249359,"FP","Great Egret","6thBridge",2023-04-20
"a593",0.756627202033997,"FP","Great Egret","6thBridge",2023-04-20
"a595",0.7550128698349,"TP","Great Egret","6thBridge",2023-04-20
"a619",0.749323725700378,"TP","Great Egret","6thBridge",2023-04-20
"a808",0.708656013011932,"TP","Great Egret","6thBridge",2023-04-20
"a843",0.70238322019577,"TP","Great Egret","6thBridge",2023-04-20
"a855",0.699970424175262,"TP","Great Egret","6thBridge",2023-04-20
"a865",0.698250591754913,"TP","Great Egret","6thBridge",2023-04-20
"a869",0.697502970695496,"TP","Great Egret","6thBridge",2023-04-20
"a901",0.691459059715271,"FP","Great Egret","6thBridge",2023-04-20
"a942",0.684154033660889,"TP","Great Egret","6thBridge",2023-04-20
"a958",0.681197583675385,"TP","Great Egret","6thBridge",2023-04-20
"a1082",0.661277115345001,"TP","Great Egret","6thBridge",2023-04-20
"a1217",0.64137214422226,"FP","Great Egret","6thBridge",2023-04-20
"a1353",0.625368893146515,"FP","Great Egret","6thBridge",2023-04-20
"a1380",0.62067449092865,"TP","Great Egret","6thBridge",2023-04-20
"a1386",0.619720458984375,"FP","Great Egret","6thBridge",2023-04-20
"a1446",0.611131966114044,"TP","Great Egret","6thBridge",2023-04-20
"a1498",0.604956984519958,"TP","Great Egret","6thBridge",2023-04-20
"a1510",0.603349506855011,"TP","Great Egret","6thBridge",2023-04-20
"a1565",0.595514953136444,"TP","Great Egret","6thBridge",2023-04-20
"a1618",0.58953332901001,"TP","White Ibis","6thBridge",2023-04-20
"a1726",0.5778688788414,"TP","Great Egret","6thBridge",2023-04-20
