"site" "date" "11" "10" "01" "TP" "FP" "unverified"
"6thBridge" 2023-04-20 75 7 4 86 25 6763
"CypressCity" 2023-03-08 11 3 0 14 9 117
"Forseti" 2023-04-03 12 1 1 14 8 146
"Horus" 2023-03-13 16 0 0 16 9 1010
"Jerrod" 2023-03-07 3 0 0 3 3 91
"JetportSouth" 2023-04-26 9 1 0 10 14 1300
"Joule" 2023-02-28 8 0 0 8 4 415
"LittleD" 2023-03-17 17 0 0 17 5 220
"StartMel" 2023-02-27 0 0 0 0 3 133
"Vacation" 2023-03-20 1 0 0 1 0 211
"Willowhead" 2023-03-22 0 0 0 0 17 21
"6thBridge" 2023-02-17 NA NA NA NA NA 5806
"6thBridge" 2023-02-22 NA NA NA NA NA 9874
"6thBridge" 2023-03-01 NA NA NA NA NA 7852
"6thBridge" 2023-03-08 NA NA NA NA NA 11773
"6thBridge" 2023-03-14 NA NA NA NA NA 14137
"6thBridge" 2023-03-21 NA NA NA NA NA 14883
"6thBridge" 2023-03-28 NA NA NA NA NA 12133
"6thBridge" 2023-04-04 NA NA NA NA NA 11241
"6thBridge" 2023-04-15 NA NA NA NA NA 8743
"6thBridge" 2023-04-27 NA NA NA NA NA 2787
"CypressCity" 2023-02-22 NA NA NA NA NA 125
"CypressCity" 2023-03-01 NA NA NA NA NA 131
"CypressCity" 2023-03-14 NA NA NA NA NA 150
"CypressCity" 2023-03-21 NA NA NA NA NA 129
"CypressCity" 2023-03-28 NA NA NA NA NA 82
"CypressCity" 2023-04-04 NA NA NA NA NA 68
"CypressCity" 2023-04-15 NA NA NA NA NA 56
"CypressCity" 2023-04-27 NA NA NA NA NA 47
"Forseti" 2023-02-20 NA NA NA NA NA 132
"Forseti" 2023-03-06 NA NA NA NA NA 180
"Forseti" 2023-03-13 NA NA NA NA NA 154
"Forseti" 2023-03-20 NA NA NA NA NA 156
"Forseti" 2023-03-27 NA NA NA NA NA 141
"Forseti" 2023-04-13 NA NA NA NA NA 79
"Forseti" 2023-04-18 NA NA NA NA NA 92
"Forseti" 2023-04-24 NA NA NA NA NA 27
"Hidden" 2023-03-16 NA NA NA NA NA 1175
"Jerrod" 2023-02-21 NA NA NA NA NA 127
"Jerrod" 2023-02-28 NA NA NA NA NA 143
"Jerrod" 2023-03-17 NA NA NA NA NA 130
"Jerrod" 2023-03-22 NA NA NA NA NA 151
"Jerrod" 2023-03-30 NA NA NA NA NA 113
"Jerrod" 2023-04-05 NA NA NA NA NA 92
"Jerrod" 2023-04-18 NA NA NA NA NA 99
"JetportSouth" 2023-03-02 NA NA NA NA NA 1782
"JetportSouth" 2023-03-10 NA NA NA NA NA 2617
"JetportSouth" 2023-03-16 NA NA NA NA NA 2644
"JetportSouth" 2023-03-23 NA NA NA NA NA 2109
"Joule" 2023-02-21 NA NA NA NA NA 295
"Joule" 2023-03-07 NA NA NA NA NA 364
"Joule" 2023-03-17 NA NA NA NA NA 431
"Joule" 2023-03-22 NA NA NA NA NA 396
"Joule" 2023-03-30 NA NA NA NA NA 220
"Joule" 2023-04-05 NA NA NA NA NA 180
"Joule" 2023-04-18 NA NA NA NA NA 145
"Vacation" 2023-02-20 NA NA NA NA NA 224
"Vacation" 2023-02-27 NA NA NA NA NA 368
"Vacation" 2023-03-06 NA NA NA NA NA 215
"Vacation" 2023-03-13 NA NA NA NA NA 262
"Vacation" 2023-03-27 NA NA NA NA NA 275
"Vacation" 2023-04-03 NA NA NA NA NA 244
"Vacation" 2023-04-13 NA NA NA NA NA 271
"Vacation" 2023-04-18 NA NA NA NA NA 262
"Vacation" 2023-04-24 NA NA NA NA NA 172
