"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"1" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"2" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"3" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"4" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"5" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"6" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"7" 0 0 0.01 0.01 0 0 0.53 0.07 0.01 0.09 0 0 1.18 0.06 0.01
"8" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"9" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"10" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"11" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"12" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"13" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"14" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"15" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"16" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"17" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"18" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"19" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"20" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"21" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"22" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"23" 1.47 0.01 0 0.16 0 0.56 1.36 0 0.12 0.01 0.02 0.5 0.33 0.28 0
"24" 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0
"25" 0 0 0.01 0.01 0 0 0.53 0.07 0.01 0.09 0 0 1.18 0.06 0.01
"26" 0.28 0 0 0.01 0.01 0 0 0.53 0.07 0.01 0.09 0 0 1.18 0.06
"27" 0.28 0 0 0.01 0.01 0 0 0.53 0.07 0.01 0.09 0 0 1.18 0.06
