"site" "deployment_id" "filename" "label" "confidence" "site.id" "day.id" "image.id" "obs.class"
"CT-1A" "CT-1A_May19-June13" "RCNX0131.JPG" "deer" 9.9034375512862 1 4 2 1
"CT-1A" "CT-1A_May19-June13" "RCNX0134.JPG" "deer" 8.37720122258723 1 5 1 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0086.JPG" "deer" 9.11492018612092 8 1 1 1
"CT-3B" "CT-3B_April27-May19" "RCNX0089.JPG" "deer" 3.0267936142345 8 1 2 1
"CT-3B" "CT-3B_April27-May19" "RCNX0095.JPG" "deer" 3.92499633788899 8 1 3 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0098.JPG" "deer" 1.30795051028104 8 2 1 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0101.JPG" "deer" 8.87372812555385 8 2 2 1
"CT-3B" "CT-3B_April27-May19" "RCNX0104.JPG" "deer" 8.74017672992878 8 2 3 1
"CT-3B" "CT-3B_April27-May19" "RCNX0107.JPG" "deer" 5.44483098469453 8 2 4 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0125.JPG" "deer" 7.90163748385917 8 5 1 1
"CT-3B" "CT-3B_April27-May19" "RCNX0134.JPG" "deer" 9.31561088358338 8 7 1 1
"CT-3B" "CT-3B_April27-May19" "RCNX0137.JPG" "deer" 9.31561088358338 8 7 2 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0140.JPG" "deer" 8.21681856250937 8 7 3 1
"CT-3B" "CT-3B_April27-May19" "RCNX0143.JPG" "deer" 5.56105312255833 8 7 4 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0146.JPG" "deer" 7.04614696764596 8 7 5 1
"CT-3B" "CT-3B_April27-May19" "RCNX0152.JPG" "deer" 8.04686951095962 8 8 2 1
"CT-3B" "CT-3B_April27-May19" "RCNX0158.JPG" "deer" 8.25456889314274 8 8 4 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0161.JPG" "deer" 9.31561088358338 8 8 5 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0164.JPG" "deer" 8.804725252617 8 9 1 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0173.JPG" "deer" 5.81621890696533 8 10 1 NA
"CT-3B" "CT-3B_April27-May19" "RCNX0185.JPG" "deer" 8.87372812555385 8 11 1 1
"CT-3B" "CT-3B_April27-May19" "RCNX0188.JPG" "deer" 7.32261050504793 8 11 2 1
"CT-3B" "CT-3B_April27-May19" "RCNX0194.JPG" "deer" 3.22189603128811 8 11 3 0
"CT-3B" "CT-3B_April27-May19" "RCNX0200.JPG" "deer" 7.26372997780643 8 11 5 1
