"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
2 3 1 2 3 2 0 2 1 0 1 0 0 0 2
2 4 4 5 5 9 5 6 6 4 5 6 3 9 11
2 0 0 0 0 1 0 0 0 1 2 0 0 3 0
2 0 2 0 10 1 0 3 0 1 1 5 5 3 0
1 1 0 0 1 0 0 1 2 1 3 3 0 0 1
1 4 4 5 1 0 5 2 1 1 1 5 2 1 1
4 0 2 1 9 4 2 2 6 7 7 1 7 3 3
3 4 0 1 1 2 5 5 1 3 10 1 9 4 7
4 2 4 3 4 8 4 4 13 7 6 7 0 2 2
1 1 5 3 1 1 3 2 0 1 0 1 0 0 18
3 5 3 1 1 3 4 7 5 5 10 1 6 5 14
4 6 5 9 6 9 11 13 8 7 7 6 12 9 6
0 0 0 0 2 0 0 1 0 0 0 0 0 1 0
7 0 0 2 0 2 0 1 2 4 0 1 0 0 0
4 1 0 2 1 0 0 2 0 0 5 0 0 0 0
4 4 3 2 0 2 1 0 0 0 1 0 0 1 1
2 0 0 0 3 0 1 1 1 2 0 3 3 5 4
1 2 2 2 3 1 0 0 0 0 1 3 1 1 3
0 3 2 2 0 0 0 0 0 2 0 0 0 3 0
3 3 4 3 0 1 1 8 5 2 3 1 11 7 6
3 1 0 0 10 13 7 3 1 1 1 1 0 3 0
3 0 3 1 3 7 0 2 1 2 1 0 0 2 1
1 0 0 0 0 1 0 0 0 0 0 0 0 0 1
0 3 0 0 0 0 0 0 0 1 0 1 1 0 0
3 5 6 12 1 3 10 0 5 5 0 0 0 3 0
0 1 23 0 2 0 0 2 0 3 0 2 7 5 0
7 10 10 8 7 8 9 5 6 7 8 8 2 2 11
