"placename" "deployment_id" "start_date" "end_date" "time.int" "twi" "forest" "hardforest" "wetland" "open"
"CT-1A" "CT-1A" "CT-1A_May19-June13" 2022-05-29 2022-06-12 25 6.79773712718271 0.658710949915633 0 0.230991911584765 0.166243283682744
"CT-1B" "CT-1B" "CT-1B_April28-June13" 2022-05-03 2022-05-17 46 6.22601598833468 0.501502747323328 0 0.260852312388671 0.284480239235471
"CT-1C" "CT-1C" "CT-1C_April28-June13" 2022-05-03 2022-05-17 46 7.53958005294484 0.487771457839673 0 0.123597128125072 0.423609659969774
"CT-2A" "CT-2A" "CT-2A_May17-June13" 2022-05-29 2022-06-12 27 8.44063178406882 0.292582641364973 0 0.252808397661868 0.532054274817788
"CT-2B" "CT-2B" "CT-2B_May17-June13" 2022-05-29 2022-06-12 27 7.52911847316051 0.431692212400432 0 0.419536854861546 0.175485598643915
"CT-2C" "CT-2C" "CT-2C_April28-June13" 2022-05-03 2022-05-17 46 6.98918077361934 0.341195325405799 0 0.297482627898824 0.393296135137087
"CT-3A" "CT-3A" "CT-3A_May18-June27" 2022-06-12 2022-06-26 40 7.56259921448258 0.00684780301189995 0 0.141442551866485 0.912764915258595
"CT-3B" "CT-3B" "CT-3B_April27-May19" 2022-05-03 2022-05-17 22 7.57767098229201 0 0 0.108671388426214 0.965521661952038
"CT-3C" "CT-3C" "CT-3C_May18-June13" 2022-05-29 2022-06-12 26 7.87194767373366 0 0 0.112311865362212 1
"CT-4A" "CT-4A" "CT-4A_April26-May19" 2022-05-03 2022-05-17 23 5.68842381545776 0.310994126721146 0 0.0609723031910628 0.643334456300285
"CT-4B" "CT-4B" "CT-4B_April26-May19" 2022-05-03 2022-05-17 23 6.93450092924217 0.0114573652747487 0.0103943107647204 0.0989821866004061 1
"CT-4C" "CT-4C" "CT-4C_April26-May19" 2022-05-03 2022-05-17 23 6.11194981592242 0.173153632241968 0.0447648203408635 0.0270478729764056 0.694740562651607
"CT-5A" "CT-5A" "CT-5A_May18-June13" 2022-05-29 2022-06-12 26 7.33443954480584 0.367117170519892 0 0.0751940956981258 0.656089142684746
"CT-5B" "CT-5B" "CT-5B_April28-May30" 2022-05-03 2022-05-17 32 7.64954527718044 0.24046102882883 0 0.14687619598734 0.677426574091245
"CT-5C" "CT-5C" "CT-5C_April28-June13" 2022-05-03 2022-05-17 46 6.66450939593193 0.210253773911772 0 0.0763055831162946 0.764945752726198
"CT-6A" "CT-6A" "CT-6A_April28-June13" 2022-05-03 2022-05-17 46 8.55272719226879 0.179682317180866 0 0.168577690083561 0.841825241440402
"CT-6B" "CT-6B" "CT-6B_April28-June13" 2022-05-03 2022-05-17 46 8.50585465344595 0.0452361502455174 0.0147637566075448 0.161102112101529 0.976888247208027
"CT-6C" "CT-6C" "CT-6C_April28-May18" 2022-05-03 2022-05-17 21 8.61960557236938 0.00106335343872729 0 0.089085388088931 1
"CT-7A" "CT-7A" "CT-7A_May17-June13" 2022-05-29 2022-06-12 27 9.5326475906686 0.219719764813267 0.101418204177644 0.610398271942283 0.800483613881757
"CT-7B" "CT-7B" "CT-7B_May17-June13" 2022-05-29 2022-06-12 27 9.1844883293818 0.21146070197977 0.13786292693318 0.454108904139798 0.810756870216293
"CT-7C" "CT-7C" "CT-7C_May18-June13" 2022-05-29 2022-06-12 26 10.0149866350408 0.157260759808141 0.157260759808141 0.380214218679637 0.86558401679522
"CT-8A" "CT-8A" "CT-8A_April28-June13" 2022-05-03 2022-05-17 46 7.55455288263302 0 0 0.355621108485237 0.90649914117282
"CT-8B" "CT-8B" "CT-8B_May17-June13" 2022-05-29 2022-06-12 27 6.25139564916519 0.0011813153974438 0 0.165147892562643 0.897445307438056
"CT-8C" "CT-8C" "CT-8C_April27-June13" 2022-05-03 2022-05-17 47 10.1631217370608 0 0 0.406809494597895 0.98037106758019
"Preserve_3" "Preserve_3" "preserve-3-May18-June27" 2022-06-12 2022-06-26 40 8.09242161535056 0.0483716848415517 0.0483716848415517 0.309034749366686 0.866432672736449
"Preserve_4" "Preserve_4" "Preserve-4_May18-June26" 2022-06-11 2022-06-25 39 9.51751072360723 0.0904889732362252 0.0904889732362252 0.430117952419185 0.577310198701609
"Preserve_5" "Preserve_5" "Preserve-5_May18-June26" 2022-06-11 2022-06-25 39 10.0415578499808 0 0 0.705688298181022 0.517331441633709
